I'm looking for...,Tôi đang tìm sản phẩm...
Search,Tìm kiếm
Login,Đăng nhập
Register,Đăng ký
Sign Up,Đăng ký
Contact us,Liên hệ
Shop By Department,Danh mục sản phẩm
My Account,Tài khoản của tôi
My Orders,Đơn đặt hàng của tôi
My Wishlist,Sản phẩm yêu thích
My Cart,Giỏ hàng của tôi
Log Out,Đăng xuất
Free Delivery,Miễn phí vận chuyển
"For all orders over 2,000,000đ","Cho tất cả đơn hàng trên 2,000,000đ"
"Authentic Products",Hàng Chính Hãng
"Legitimate Origin",Xuất xứ rõ ràng
Secure Payment,Thanh toán an toàn
Support COD and Cards,Hỗ trợ tiền mặt và thẻ
Customer Service Support,Tổng Đài CSKH
9:00 - 18:00,9:00 - 18:00
Monday - Friday,Thứ 2 - Thứ 6
Top Categories Of The Month,Danh mục hàng đầu trong tháng
Deals Of The Day,Giá sốc hôm nay
Best Seller,Bán chạy nhất
Recently Viewed Products,Các sản phẩm đã xem gần đây
View All,Xem thêm
Add to cart,Thêm vào giỏ hàng
Quick View,Xem trước
Add to Wishlist,Thêm vào danh sách yêu thích
Add to Compare,Thêm so sánh
Top,Trở lên đầu trang
"You added product %1 to the <a href=""""%2"""">comparison list</a>.","Bạn đã thêm %1 sản phẩm vào <a href=""""%2"""">danh sách so sánh</a>"
%1 has been added to your Wish List. Click here to continue shopping.,%1 đã được thêm vào danh sách yêu thích của bạn. Bấm vào đây để tiếp tục mua sắm,module,Magento_Wishlist
Quick links,Truy cập nhanh
Our Policies,Chính sách của chúng tôi
Terms & Conditions,Điều khoản & Dịch vụ
How to Buy,Hướng dẫn mua hàng
FAQs,Câu hỏi thường gặp
Company,Về COCORO Life
About COCORO Life,Về COCORO Life
Contact Us,Liên hệ với chúng tôi
Our Mobile App,Tải ứng dụng trên điện thoại
Follow Us,Kết nối với chúng tôi
© 2021 COCORO Life. All Rights Reserved,© 2021 COCORO Life. Bản quyền thuộc về COCORO Life
Our Payment Provider,Đối tác dịch vụ thanh toán
SHARP ELECTRONICS (VIETNAM) COMPANY LIMITED,CÔNG TY TNHH ĐIỆN TỬ SHARP VIỆT NAM
"Address: T5-B03.07 & T5-B03.09, Floor No.3 Masteri Thao Dien","Địa chỉ: T5-B03.07 & T5-B03.09, Lầu 3 Masteri Thảo Điền"
"159 Ha Noi Highway Thao Dien Ward,Thu Duc, Ho Chi Minh city, Vietnam","159 Xa Lộ Hà Nội, Phường Thảo Điền, T.P Thủ Đức, T.P Hồ Chí Minh, Việt Nam"
My Account,Tài khoản của tôi
Total purchased,Bạn đã chi
Spend %1 more to become VIP member,Mua thêm %1 để trở thành thành viên VIP
Freeshipping for all orders from %1 and above,Miễn phí giao hàng với tất cả đơn hàng từ %1 trở lên
Discounts on certain products,Giảm giá trên một số mặt hàng nhất định
Contact,Liên hệ
Social Accounts,Tài khoản mạng xã hội
Connect Now,Liên kết ngay
Connected,Đã liên kết
Edit,Chỉnh sửa
Change Password,Đổi mật khẩu
Address book,Sổ địa chỉ
Manage Addresses,Quản lý địa chỉ
Billing Address,Địa chỉ thanh toán
You have not set a default billing address,Bạn chưa thiết lập địa chỉ thanh toán mặc định
Edit Address,Sửa địa chỉ
Shipping Address,Địa chỉ giao hàng
You have not set a default shipping address.,Bạn chưa thiết lập địa chỉ vận chuyển mặc định.
My Orders,Đơn đặt hàng của tôi
Reorder,Đặt hàng lại
You have placed no orders.,Bạn chưa có đơn đặt hàng nào
Order #,Đơn hàng #
Date,Ngày
Ship To,Vận chuyển đến
Order Total,Tổng đơn đặt hàng
Status,Trạng thái
My Wishlist,Sản phẩm yêu thích
You have no items in your wish list,Bạn chưa có sản phẩm nào trong danh sách yêu thích
Update Wish List,Cập nhật danh sách yêu thích
Share Wish List,Chia sẻ danh sách yêu thích
Add all to Cart,Thêm tất cả vào giỏ hàng
Address Book,Sổ địa chỉ
Default Addresses,Địa chỉ mặc định
Default Billing Address,Địa chỉ thanh toán mặc định
Change Billing Address,Thay đổi địa chỉ thanh toán
Default Shipping Address,Địa chỉ giao hàng mặc định
Change Shipping Address,Thay đổi địa chỉ giao hàng
Additional Address Entries,Thêm địa chỉ khác
You have no other address entries in your address book.,Bạn chưa có địa chỉ khác trong sổ địa chỉ
Add New Address,Thêm địa chỉ mới
